site_id,latitude,longitude,timezone,reference_year,month_day,local_solar_time,time_weight,shadow_input_status
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,06-21,10:00,0.2,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,06-21,12:00,0.3,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,06-21,14:00,0.3,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,06-21,16:00,0.2,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,07-21,10:00,0.2,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,07-21,12:00,0.3,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,07-21,14:00,0.3,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,07-21,16:00,0.2,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,08-21,10:00,0.2,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
SUZ,31.287068393742285,120.58645142796368,Asia/Shanghai,2026,08-21,12:00,0.3,RUNNABLE_EXPLICIT_DESIGN_GEOMETRY_MISSING_BASELINE_HEIGHT_NOT_IMPUTED
